ROI 	, 	R0 (Origin in up-left) 	,	R (Origin in centre) 	, 	Ratio 	,	Centroid Coordinates

ROI_10_3        , 	 758.77		, 	304.902		, 	1.65567	,	[527.456, 545.456]
ROI_10_8        , 	829.637		, 	366.879		, 	6.1105	,	[659, 504]
ROI_10_32       , 	515.246		, 	170.381		, 	2.24511	,	[273.883, 436.425]
ROI_10_43       , 	467.398		, 	193.681		, 	1.33628	,	[213.656, 415.707]
ROI_10_44       , 	731.988		, 	273.159		, 	1.41625	,	[606.394, 409.99]
ROI_10_59       , 	645.158		, 	183.758		, 	1.30916	,	[520.648, 380.992]
ROI_10_60       , 	625.513		, 	163.099		, 	1.5442	,	[498, 378.5]
ROI_10_64       , 	377.325		, 	349.835		, 	1.09553	,	[22.0732, 376.679]
ROI_10_71       , 	377.089		, 	264.177		, 	1.64769	,	[106.731, 361.67]
ROI_10_72       , 	795.594		, 	356.355		, 	11.4942	,	[711, 357]
ROI_10_96       , 	603.411		, 	 160.62		, 	1.43244	,	[520.968, 304.462]
ROI_10_118      , 	277.807		, 	329.666		, 	2.4795	,	[31.6312, 276]
ROI_10_150      , 	704.395		, 	316.951		, 	1.35981	,	[669.726, 218.263]
ROI_10_165      , 	245.579		, 	228.487		, 	2.00361	,	[155.537, 190.045]
ROI_10_172      , 	557.428		, 	197.075		, 	1.62226	,	[526.521, 183.035]
ROI_10_191      , 	680.161		, 	341.994		, 	1.72734	,	[666.406, 136.094]
ROI_10_212      , 	326.421		, 	212.267		, 	1.35378	,	[315.797, 82.6014]
ROI_10_219      , 	669.769		, 	384.574		, 	1.45029	,	[667.3, 57.4548]
ROI_10_223      , 	 559.51		, 	312.566		, 	2.50925	,	[557.537, 46.9548]

ROI_11_5        , 	683.194		, 	 255.08		, 	2.93525	,	[421.26, 537.86]
ROI_11_21       , 	473.634		, 	313.036		, 	1.88962	,	[100.074, 462.941]
ROI_11_39       , 	 738.36		, 	278.475		, 	1.54746	,	[607.271, 419.997]
ROI_11_42       , 	425.503		, 	290.219		, 	2.97028	,	[98.5714, 413.929]
ROI_11_58       , 	381.756		, 	349.948		, 	1.19931	,	[23.1063, 381.056]
ROI_11_68       , 	382.527		, 	264.651		, 	1.85501	,	[107.805, 367.022]
ROI_11_85       , 	609.532		, 	163.272		, 	1.90426	,	[522.521, 313.848]
ROI_11_132      , 	710.057		, 	317.257		, 	1.94443	,	[672.257, 228.587]
ROI_11_161      , 	750.197		, 	386.028		, 	3.23398	,	[729.5, 175]
ROI_11_168      , 	473.059		, 	154.358		, 	1.33657	,	[445, 160.5]
ROI_11_172      , 	685.492		, 	340.148		, 	1.25397	,	[669.572, 146.877]
ROI_11_183      , 	546.593		, 	237.261		, 	1.19864	,	[531.987, 125.513]
ROI_11_195      , 	331.776		, 	 204.68		, 	3.02316	,	[319.453, 89.5814]
